text,label,label_name
i am but all of a sudden i feel ignored and unloved and forgotten and i know its probably mostly in my head but what if it isnt,0,sadness
i feel like i could be inspired there every single day,1,joy
i woke up feeling distraught,4,fear
i remember being so disappointed with not showing for about months and now i actually feel like my less than lady like movements are more acceptable,1,joy
i feel rebellious and think let them do so,3,anger
i feel like a blundering idiot around these people which might be exactly what i need but it doesn t make it any more pleasant,1,joy
i feel less bitchy in the morning,3,anger
i can drop a great deal of paratroopers on the table at once should i feel the need to do so or conduct other useful air missions,1,joy
i cant escape the tears of sadness and just true grief i feel at the loss of my sweet friend and sister,1,joy
i wonder why people feel the need to make up stories to be amazed at the miracles around us every day,5,surprise
i am feeling oh so low,0,sadness
ive just been feeling so unimportant,0,sadness
i started off the week feeling groggy and unwell picking up a sick note from the doctor and climbing into fresh sheets with snacks and a bottle of water to hand,0,sadness
i feel strongly impressed that there must be something for me to do,5,surprise
i am feeling devastated the inner voice within me thats what i name it speaks,0,sadness
i have simply not feel like learning those unimportant stuff,0,sadness
i feel a little glad to be distant from others a bit sad,1,joy
i even cry over you when you never once made me feel happy for a whole day,1,joy
i am healthier when i don t feel horny often i m not as sexually frustrated,2,love
i feel incredibly disappointed in myself,0,sadness
i find interesting is how this supplement when used without going to the gym makes me feel liteheaded and listless and sick to the stomach but when i go to the gym and purpose to focus and pound it illicits the most incredible feeling of laser focused perserverence,0,sadness
im feeling a little smug this evening,1,joy
i was feeling heartbroken this time it had nothing to do with a stupid boy who wasnt worth it,0,sadness
i rarely consider the garments i m going to put on every day for the reason that i feel self assured that no matter what i put on my body could make these clothes look excellent,1,joy
i feel fake and forced where as the need to express myself as a woman seems true and natural but undeveloped,0,sadness
i feel really wimpy saying it but,4,fear
i wake up and i open up my eyes i feel an aching in my heart that s when i realize,0,sadness
i have never known a love like the love i feel for you sweet emma and benjamin,2,love
i left feeling too dull to come up with ideas,0,sadness
i feel like my very essence is no more and work has drained my soul hopefully soon i will find my escape from work into a better path as i seem to be stuck only the cliquey get to move on and i do not want to roll like that,0,sadness
i actually prefer peep toe shoes because of it because then i wont notice that my shoes feel funny,5,surprise
i feel smart yet comfortable in it i feel good when i wear it,1,joy
i am so fucking sick its not funny my head feels like its going to explode my sinuses are aching my stomach is feeling sloshy im not sure if thats good,0,sadness
i feel somewhat remorseful that i wont be around for this move in weekend but i think its for the better that i do this study if it doesnt seem like a good thing i can always back out and come home to oakland and everyone,0,sadness
i am tired and feeling giggly but not witty,1,joy
i have my lowest level class first which is definitely the most difficult to manage with the hotshot boys men then my best class very last period which leaves me feeling somewhat useful at the end of each day,1,joy
i feel unwelcome in my own country,0,sadness
im years old and i must admit that it has made me feel uncomfortable,4,fear
i have a feeling that will never happen and that feeling is reassured with every kiss its still something that is always in the back of my mind that i just cant seem to shake,1,joy
i feel burdened for several loved ones and i miss my big kid whom i havent seen since friday,0,sadness
i am normally better at avoiding the expensive pre packaged products when i go to waitrose but i was still feeling a bit shaken up from the parking issues so bought some extra bits to calm my nerves,4,fear
i feel so nervous about being around people being with someone,4,fear
i feel that the students will be more successful in the classroom,1,joy
i cant help but feel a longing to be outside more to feel the rain on my skin and sticky tree droppings on my feet,2,love
i feel like ive been sooo distracted and i need to regain my focus again,3,anger
i kept my heart open and exposed while watching the news every night i would most likely never recover from the rush of helpless and hopeless feelings created by all the tragic stories,0,sadness
i now use it not just at the end of yoga practice but also at the beginning or ending of a meditation or whenever i feel the need to offer myself an acknowledgment and reminder of my own divine origins,1,joy
i feel very complacent with my experiences here in this program even if i sometimes find the concepts we ve done to be big drags there s still no room for scrutiny,1,joy
i write now it feels like furious abandonment to embrace a cliche,3,anger
i cannot wait to be human again ahkman to feel your kiss but i am so frightened,4,fear
i think he is what really made us decide to stay with multiband because he made us feel valued and listen to the fact i am a student and need to do homework,1,joy
i tgt v u but i still feel unhappy,0,sadness
i dont know why but i feel emotionally assaulted by this fact,4,fear
i am feeling a bit doubtful of myself the last couple of weeks,4,fear
ive test tried dropping it and nothing happened which is supposed to be if something happened to my phone i would feel so fucked up,3,anger
i now agreed with you i will only let us be the past i am happy that you were once part of my life i do feel honoured,1,joy
i am still trying to find my footing and after three years in i feel just as shaky as ever,4,fear
i feel useless and worthless,0,sadness
i already mentioned that the company i had a phone interview with decided i was not the right fit for the position and i feel rejected,0,sadness
i chose to go with my gut feeling i think this only amused laetshi further if i d been the easily flustered type he d have probably said something,1,joy
i have some christmas undecorating to start but im in no hurry i like feeling festive,1,joy
i feel like any time anyone gets into the ring with him they are so intimidated by his arms and legs they dont even really try,4,fear
i was still feeling terrible sore throat body aches stuffy nose congested etc,0,sadness
i feel happy lite and very grateful,1,joy
i feel bad for pretty much everyone involved and am generally bummed to see violence take place perhaps most disturbing of all is the insidious if not predictable victim blaming that has taken hold in the days since the violent incident,0,sadness
i feel almost angry that i have been fed like a lab rat for so many years,3,anger
i was feeling mad,3,anger
im usually so strong but she has this ability to make me feel like a naughty child that doesnt know what shes talking about,2,love
im feeling it would be obnoxious,3,anger
i wish i could take my feelings and sort them as i would a messy file,0,sadness
i am floating in the flashback feeling the heaviness of nostalgic heart,2,love
i got the feeling she really liked her new quilt,2,love
i have a feeling something startled her but either way she started on my shoulder and ended up across the room a very slow flutter mind you,4,fear
i feel like i need to tattoo that peggy o mara quote onto my arm so i ll see it next time i feel disgusted disdainful or disappointed by my children s behavior,3,anger
i see that i have pageviews and im just guessing that of them are actually me so i feel reaaallyyyy popular and that was total sarcasm,1,joy
i know is that it s better for me as a teacher i feel the lesson is more pleasant that the language work is less artificial and it feels good that what i teach is closer to what they need instead of what someone else who is not even there thinks they need,1,joy
i feel cute and sexy all at once and its not so sheer i feel naked,1,joy
i wish i could be there for all the people who i feel i should be there for and supporting in these times,2,love
i want all of my feelings rage and terror and longing to wash over me and fill me as the alternative is the dull anxiety of every day living,2,love
when i was attacked by a teenage boy and had my wallet stolen,4,fear
i felt i handled it okay but the class really began to feel like instead of caring about the subject matter it was turning into a fight for my grade,2,love
i feel like i would have more direction that i would still feel innocent,1,joy
i feel like she has taken on the role of a grandmother to me since my beloved grandma is no longer with me,1,joy
i have a feeling that christ welcomed corey and then whispered youve got some work to do son,1,joy
i feel like the helpless duckie target for the commies and feds while at other times i want to run and hide,4,fear
i am feeling very apprehensive about the future at the moment,4,fear
i was pregnant with my first i remember thinking a lot that i didn t have to feel so sentimental about the time passing so quickly because there would be another pregnancy yes i am one of those crazy people that loves being pregnant,0,sadness
i feel less assaulted by my inadequacies under grey skies on rainy days,0,sadness
i know that when i take care of my body by eating well exercising and getting adequate sleep i feel more invigorated in both a physical mental and spiritual sense,1,joy
i was i admit very worried about feeling isolated i work in a cubicle pretty much on my own unless someone needs me,0,sadness
i don t feel special and when i feel alone in this busy ever moving world,1,joy
i feel i am so strong enough to take this pain thinking how you did me wrong,1,joy
i was made to feel like a pathetic piece of shit because i suffer from a mental illness multiple actually,0,sadness
i feel shame but i never change it it s sweet a la la la la long i ve been watching you jajaja s,1,joy
i feel im ugly i feel that i dont deserve to exist in this world,0,sadness
i could feel myself being pulled in as if some evil vampire wanted to suck me into the pits of hell,2,love
i just have to be sure i still remember to keep feeling excited and enjoying what i am already doing along the way,1,joy
i am so feeling so rich and yup i know i am so blessed,1,joy
i feel overwhelmed stressed and pressured inside something magical happens when i take off my shoes and go for a walk in the park or on the beach,4,fear
i spent a lot of my childhood feeling completely frightened of her but i remember a lot of good things too,4,fear
i liked boys and didnt feel inhibited by them,0,sadness
i feel uncontrollably agitated and i have no idea why,4,fear
i could be really screwed just on waiting for a sitter so i was feeling stressed,3,anger
i really didn t know what i was feeling my mind was blank i was confused and numb,0,sadness
i am feeling disappointed at myself for making mistakes or getting frustrated for not knowing a lot of things taryns words would be ringing in my head,0,sadness
i feel amazed to say that i am doing what i only dreamed of doing again,5,surprise
i feel so frustrated but i cant tell them i am,3,anger
i walked around my yard and even got down by the waterside of the lake i live by i couldnt feel my fingers it was so cold,3,anger
i feel assured that foods that are grown organic free from pesticides in soil and water that aren t contaminated that s good for us,1,joy
i was on the phone with one of my best friends the other day and i told her i don t feel successful,1,joy
i can remember feeling petrified,4,fear
i struggled with feelings of guilt as i took very gentle care of myself during my recovery and sometimes even now,2,love
im desperately trying to stay away from black so i really am feeling proud whenever i put together a colourful outfit,1,joy
i know that i was going to feel disheartened afterwards because of an unknown undefinable thing which i cannot attribute to anything at all,0,sadness
im working with right now and im feeling a lot more optimistic about this pattern,1,joy
i feel it is vital that a rlsh gimmick needs to be his or her own,1,joy
i feel pretty confident giving endless opinons about,1,joy
i feel that the project went smoothly and successful however i did hit a few obstacles such as issues with my memory stick corrupting however i soon managed to resolve that through back up,1,joy
i started to feel apprehensive about it,4,fear
i find im barely breathing and feel a little frantic,4,fear
i end the day feeling hopeful and relaxed,1,joy
i just feel like i should become an ungrateful bastard instead,0,sadness
i feel especially passionate about the friendships and support network that we enjoy as a part of womens ministry at befc today,2,love
i carry the usual guilt of feeling selfish and self centered if i spend time or anything on myself,3,anger
i was feeling playful,1,joy
i am feeling very generous this month so i have decided to give away free my kit a href http dezinesamaze,1,joy
im feeling groggy and horrid,0,sadness
i feel miserable after my break up self,0,sadness
i feel so helpless yet so motivated to do something,0,sadness
i always got the feeling that even though he admired moriartys intellect he was at the same time very scared of him and quite horrified by his evilness,2,love
i won t get into making excuses for the man he s a big boy and can do that for himself and his staff i walked away from red rooster feeling dissatisfied underwhelmed and confused,3,anger
i expressed my concerns that jens mobility had really declined to the point that she now sometimes uses crutches and on a good day the doctor suggested occupational therapy and said he would contact our local occupational therapist and we went on our merry way feeling rather disheartened,0,sadness
im trying to do better with my spending but i feel so deprived,0,sadness
i feel furious at myself for being so pathetic furious at her for various reasons,3,anger
i love the smell it makes me feel invigorated and fresh and happy,1,joy
i feel rotten all week because i hardly ever see you that s why i wrote this hopeless song i ve never been in love with a girl like you before darling come with me such a wonderful thing has never happened to me before you re the only one who touched my heart it s all a question of courage,0,sadness
i could before the actual thing and then if i still couldn t figure out if i d feel embarrassed not knowing how to get in line or how to get a drink or where to park my car or whatever i just wouldn t go,0,sadness
i hate struggling to enjoy life but at the same time i feel guilty when i do,0,sadness
i feel like this never get impatient around sharp objects as it will inevitably lead to tears,3,anger
i feel i am kinda pissed off,3,anger
i refuse to allow my wonderful feeling to be disturbed by all the crazy,0,sadness
i hate the moment when i completely feel perfect with people around me whom i love the most suddenly disappear,1,joy
i understand the feeling so i wouldnt be shocked,5,surprise
i feel obnoxious for saying that,3,anger
i feel like i have way to many questions and things going on that are un resolved,1,joy
i leaned my head back and took a deep breath it s awful this feeling is awful it s making me sick,0,sadness
im sure something will come to me on a day when im feeling a little more artistic,1,joy
im slow about this but it does feel weird returning to a home without your mum anymore,4,fear
i feel like i ve always been jaded towards the classic movies but then when i actually sit down to watch them casablanca the great escape etc,0,sadness
i am feeling very valued today,1,joy
i am feeling shaky and tired i feel like i do when i go on a long run without eating and come home and just really wanting a banana or some gatorade,4,fear
i was joking around and feeling good and the next hour i would feel horrible,1,joy
i feel as one with the trail without being totally punished by it,0,sadness
i can get to the bottom of this feeling and not just berate myself for feeling dissatisfied,3,anger
i feel at times life losses its joy and becomes empty and feelings of exhaustion over take our positive side,0,sadness
i threw open my windows for minutes and then we were all freezing so i had to shut them and sat back and enjoyed that feeling of tranquility that only comes in those few minutes precious minutes when everything is spotlessly in order,1,joy
i feel as sweet as a centuries old cake,1,joy
i sit here feeling blank about this,0,sadness
i love children s literature authors who don t feel the need to dumb down things for kids,0,sadness
i lay here still awake i find myself feeling unhappy,0,sadness
i am feeling in a generous mood so there will be a runner up prize which will be a copy of my other a href http www,2,love
i just feel you so so dont be afraid naega deo apaya hae and pray again dasi neol chajeul su itge sigani heureulsurok gaseumi apawa i need you go back in time dan hanbeon manirado forgive my sins wo doedollil suman itdamyeon i gotong ttawin naegen so so sloth,4,fear
i did see some things that i would never have done myself for the movie adaption but feel that if i did not read the book it would not have bothered me,3,anger
im not feeling so whiney about going alone to my conversion,0,sadness
i feel that sweet pang and a desire for adventure and excitement,2,love
i feel extremely boring,0,sadness
i feel ecstatic despite being tired,1,joy
i feel pretty weird about that considering what my friends and colleagues in nyc and new jersey are going through but it s just the reality,4,fear
i hate falling asleep napping during the day i wake up feeling so groggy,0,sadness
i do love life and i do love to laugh and i enjoy the funny side of things because honestly if i dont look at the funny side of things i would spend the majority of my life feeling pissed off over the stupid things that people do,3,anger
i will not feel so alone anymore,0,sadness
i would feel helpless feeling of wronged frustrated and misunderstood,4,fear
i feel peaceful and happy about this decision and i am glad and grateful for the remaining three months that i have in mombasa,1,joy
i seem to be feeling a little less anxious this week but i sure wish that i could check on her every week at the doctor instead of the that are scheduled,4,fear
i find myself feeling agitated because of how what the kids are playing i ask myself did i play this way when i was little,4,fear
i sometimes feel resentful that this has come into our lives at this time,3,anger
i feel like thats not useful or fun at all so i will replace those exotic icons with a destroyer,1,joy
i might have a potential job on the line so i m feeling generous,1,joy
i wanted to please him and make him feel accepted,2,love
i often feel like a child here i speak the language like a child i generally walk around the town confused like a child i have child like relationships with most of the natives and my knowledge of the area and culture is equivalent to a childs,4,fear
i feel so emotional reaching three finals in four years,0,sadness
i am starting to feel compassionate towards roslin again,2,love
i found myself feeling a little discouraged that morning,0,sadness
i have begun to feel really burdened for the women in our slums particularly my mamas in kina,0,sadness
im going to go do my anti dance flow now and if i feel eager since ill be on the mat anyhow i might even do a few circuits of grow a spine,1,joy
i know is that by the end of the reception i was feeling a little left out so when chris asked me to dance i was thrilled to accept,1,joy
i had to go to the gym so many times this last spring that i just kind of got used to feeling neurotic and then the neurotic feeling kind of went away,4,fear
ive slowed down i take time to listen to my child and be in the moment and not feel like i need to immediately update my status on fb about the cute thing she did,1,joy
i put up my christmas tree and im feeling fairly festive,1,joy
i feel truly blessed to have had the opportunity to participate in review groups and i have enjoyed trying out these products and giving you my honest opinion,2,love
i like keeping a record of my life in written form and pictures and i feel like that is even more important now that i have baby,1,joy
i do feel my beloved husbands spirit more and more strongly an indication to me that another breakthrough is imminent,2,love
i looked at sams eyes they were tough hiding the strong pent up feelings that tortured him inside,4,fear
i feel that as we study him we find that he was indeed a perfect example of what any christian and especially a latter day saint should be,1,joy
i am grateful for every single thing i have maybe then ill start feeling dismayed when i don t have more,0,sadness
i feel somewhat frightened by the number of policemen that arrived but told them they may come inside and search for whatever they need to,4,fear
i feel it was a very valuable lesson,1,joy
i feel nothing he replies suddenly relaxed,1,joy
i have been feeling conflicted on whether or not i as a follower of christ should celebrate the ever popular pagan originated modern day holidays,1,joy
i don t feel whack or messed up i know i m psychologically fucked up because i can feel the difference but i don t feel like i m as fucked up as i could be,3,anger
i feel i hate that cute patterns go out of print but similar variations of the same crappy skirt seem to last forever im looking at you simplicity,1,joy
im proud of but having crafted something that other people care about even just enough to click through to makes me feel so wonderful,1,joy
i have a feeling his sex phobia is the result of his having been sexually abused by his sister when he was a child,0,sadness
im feeling so sally field like these days surprised by all the love and always with a brown mop of hair atop my head,5,surprise
i want to believe its how my kids will feel whenever i become rich and famous and move on to the mansion that is waiting for me,1,joy
i still feel like its a terrific pistol at a fantastic price,1,joy
i feel so glad that i have a cool mama,1,joy
i expect and i feel content with that,1,joy
i feel like i am being held firmly in loving arms surrounded by a wide circle of people who are not going to let me fall,2,love
i was thrilled to have that outcome but because i was feeling so crappy i couldn t even celebrate that until i started feeling better which mainly seems to have occurred with an increased dosage of my thyroid replacement hormone and supplemental estrogen,0,sadness
i feel bashful discussing it i m a closet gamer if you will and yet millions of people from all around the world are doing the same thing,4,fear
i cant help but feel a little humiliated,0,sadness
im feeling a bit dull today but a href http thepage,0,sadness
i go shopping now i feel reluctant to buy things like that even though its really hard to resist the temptation,4,fear
i have read and experienced going vegetarian to vegan from a meat eater how the toxins leave your body and make you feel irritable and grumpy,3,anger
i do not even feel any of it it is just students being passionate and hardworking about their own personal project,1,joy
i feel rejected and unwanted,0,sadness
i cant explain how proud of him i am and the feeling of seeing him so determined each time to win,1,joy
i came out freaked on the brink of tears feeling angry confused ridiculous small,3,anger
i feel less assured that my basic rights are being protected by our political system especially as a woman and every time im disappointed i feel more personal responsibility to produce change,1,joy
i just wanted to write this post because i m sure like myself there are many of us struggling with the same problem feeling deprived and isolated on such a restricted program but i hope you realize that you are doing it to yourself and you don t have to feel that way at all,0,sadness
im feeling mellow this morning after last nights debacle that saw me totally losing it with josh,1,joy
i get the added bonus of feeling superior and healthy because of everything weve been hearing lately about a href http apps,1,joy
i drove away from today feeling overwhelmed with news that i have heard a trillion times and news that my heart knows already,4,fear
i it did not feel the positive contribution of these innovations may still be worth considering the adjustment of the economic and financial structure of the whole society and improve labor productivity,1,joy
i am feeling something ive never ever felt before and its unpleasantly pleasant,1,joy
i feel vain when reporting everyday happenings in my life,0,sadness
i feel too rushed,3,anger
i feel like a very useful engine mother those of you who have watched thomas will understand,1,joy
i suggest you give it a listen i feel like i am blessed,2,love
i am raising funds for the jag foundation jointly achieving growth a charity that i feel extremely passionate about,2,love
i am totally enamoured with this dress it is so flowy and lovely perfect for a warm summer day it feels really romantic and springy and i am so so excited to show you all,2,love
i can say that it is happening in the eastern part of the country and that i feel quite safe here,1,joy
i feel all will be ok and that the blessings pronounced upon me will be realized in accordance to my faithfulness,1,joy
ive been resting and feeling generally unpleasant and queasy but in that frustrating background way where you dont feel right but cant place an exact cause,0,sadness
i refuse to cut my hair too early and then possibly throw myself into some sort of depression because i don t like the length of it or don t feel pretty enough,1,joy
im by no means huge however as im only i find that any extra weight at all makes me feel very uncomfortable in myself as well as my clothes,4,fear
i feel like ive never felt this lonely or depressed or unhappy with my life but i still smile and maintain and good mood in school,0,sadness
i feel like theres a dangerous chance that im pulling a don quixote on this blinding rushing at the windmill that is my eventual marriage or future child,3,anger
i was feeling creative and making things better in my house,1,joy
i didnt feel passionate about most of the posts,1,joy
i feel just insulted,3,anger
i shouldve stopped feeling envious she has her own life i knew it but its still so hard,3,anger
i feel like being friendly is a chore but without people around me i feel lonely,1,joy
i don t feel like i am writing lyrics that are particularly special except that i am just hopeful that someone can connect with and get something out of what i m saying or writing about,1,joy
i am a recovering umlungu addicted to feeling superior,1,joy
im doing things that make me feel brave and strong i have a a href http derfwadmanor,1,joy
ive to admit im feeling excited yet so unprepared for the surgery,1,joy
i kept thinking about how awesome i would feel afterwards remembering how amazing i felt after my emotional spin class the previous night,5,surprise
i now feel a longing for knowledge,2,love
im feeling holly jolly how about you,1,joy
i feel flirty playful sexy reckless,1,joy
i was feeling and i said impatient,3,anger
i feel like until my brother is completely fine i wont be able to move on with a job or anything,1,joy
i took several deep breaths feeling the cold air burn its way into my lungs and exhaling little clouds of vapor,3,anger
i have to admit i feel shaken up,4,fear
i feel like garbage i cant think about being thankful right now it hurts too badly,1,joy
i feel like a miserable piece of garbage,0,sadness
i feel irritated that he either interrupts my quiet time or wakes me up,3,anger
i feel so privileged to share that love with five lovely students,1,joy
i feel so empty in this body,0,sadness
i feel assured saying the world could have one heck of a pacesetter on their hands,1,joy
i could point to incidents in my childhood or blame my upbringing but that contradicts the notion of being aware of how i m feeling in the moment and choosing between intelligent options now,1,joy
i feel so incredibly blessed especially during the hectic exam period,1,joy
i chefs are all so friendly and make you feel valued,1,joy
i was feeling kind of resentful about it since its april and all,3,anger
i am not even italian but i feel outraged by the stupidity of ppl on this blog,3,anger
i feel the calm,1,joy
i sometimes feel that this is inadequate that my mind too often slips from focusing on god and jumps to my own selfish thoughts and the tasks at hand in the classroom,0,sadness
i feel a bit nostalgic as i wonder where my passion for writing a blog times a week has gone,2,love
i write this i still have that vaguely spacy feeling and im not sure ill be an effective human being,1,joy
i feel so grounded delighted in a good mood and filled with a positive energy,1,joy
i don t care what sort of bs lifestyle you think you live everyone wants to fit in and feel accepted,1,joy
i feel it breeds loneliness and discontent and then we were onto the economy and recession and how stressful money and unemployment can be for people then she wanted to know what caused the recession and then the topic came to divorce,0,sadness
i love you and i feel so blessed to spend another year with you,2,love
i feel i learn more when things dont turn out perfect,1,joy
i feel i might have been too gloomy about it,0,sadness
i feel relieved and ready to move on to the next series of challenges that life has to offer,1,joy
i feel for these kids because you know theyre talented but i think one of the things with the whole american idol deal is that they grab a hold of you and you do what they tell you,1,joy
i feel unloved you are there to remind me you love me,0,sadness
i start to feel agitated,3,anger
i feel jealous of everyone who has the chance to meet you everyday,3,anger
i pray the rosary i feel a sense of calm upon me,1,joy
i do stay though it would be six more months of feeling discontent at times of being here,0,sadness
i just be feeling curious about a few tings,5,surprise
i want them to feel eager to attend a amp m i want them to feel like they belong,1,joy
i have a feeling it could be an unpleasant experience working with her,0,sadness
i feel overly distracted so tabby and i started again working on the paths and the routes we have here through the woods down to the big creek and around the former second meadow,3,anger
i felt the bubbling feeling and pretty soon i was at my peek and climaxed on her hands and her cute little dress,1,joy
im exhausted in excruciating pain and feeling extremely hostile,3,anger
i feel very regretful for what i might done i dont think i remember it,0,sadness
i decide to take ill still feel ive resolved a win win situation,1,joy
i feel the reader will get confused with because it bounces and uses references from its earliest time period which is like the dawn of time till now,4,fear
i feel the skeptical looks and eye rolls when we say we need a bigger house after all we re dinks double income no kids which is prettymuch the most awesome acronym ever,4,fear
im honest i had already began to feel that i liked kiss guy a lot and therefore couldnt use him like that,2,love
im feeling the fight as i struggle with feelings that im sure are not right,1,joy
i feel sad about it,0,sadness
i feel like since i missed out on so much school my brain is craving knowledge of any form,0,sadness
i feel depressed nearly all the time,0,sadness
i just cant help but feel that i am more intelligent then my body and i hate feeling helpless when i think i have it all worked out and it really isnt,1,joy
i die wont some man make me feel that lifes worthwhile,1,joy
i could ingrain in my mind all my feelings all my experiences reading it so if i hated everything that happened in the next book i could just go back to the first and pretend nothing ever happened past it,3,anger
id love to hear your thoughts and comments so please feel free to leave me something below and have a wonderful weekend,1,joy
i feel like they are a second family and they all are so supportive and love little miss rylin,2,love
ive not been back to the doctor in a year and it feels so fabulous,1,joy
i feel hateful sometimes,3,anger
i feel intimidated by your question,4,fear
i wish i could say fuck you to people who make me feel insecure for ever to have existed,4,fear
i am feeling completely mellow and perfectly calm,1,joy
im with her most of the time i feel perfectly content,1,joy
i kicked myself repeatedly over the next hours for feeling so ungrateful,0,sadness
i feel like im being punished if i have to sit facing the wall,0,sadness
i didnt smoke in the house or car but i can remember feeling so agitated on the way home from anywhere,3,anger
the patient whom i expected to get well suddenly passed away after he showed had his meals,3,anger
i looked at uncle lin the chubby face feeling very charming never find ah because there is no scrutiny,1,joy
i am so incredibly thankful for the temple and for the blessings the promises and especially the feeling that comes over me when i am either inside this amazing building or simply when i drive by,1,joy
i think maybe the person gives a fake hope just because he doesnt want to show his feeling just because he is to afraid about the girl reactions,4,fear
i stop feeling so depressed and,0,sadness
i was feeling listless from the need of new things something different,0,sadness
